date,open,high,low,close,volume
2026-07-02 12:53:00,308.29,308.35,308.1,308.21,101305.0
2026-07-02 12:54:00,308.23,308.44,308.23,308.26,130564.0
2026-07-02 12:55:00,308.24,308.53,308.24,308.4,128115.0
2026-07-02 12:56:00,308.39,308.48,308.28,308.28,93644.0
2026-07-02 12:57:00,308.31,308.5,308.19,308.29,146555.0
2026-07-02 12:58:00,308.24,308.38,307.97,308.38,107150.0
2026-07-02 12:59:00,308.36,308.4,308.08,308.31,102511.0
2026-07-02 13:00:00,308.32,308.43,307.42,307.98,287919.0
2026-07-02 13:01:00,307.93,307.97,307.72,307.81,142607.0
2026-07-02 13:02:00,307.82,307.96,307.7,307.75,96128.0
2026-07-02 13:03:00,307.75,307.76,307.42,307.54,120424.0
2026-07-02 13:04:00,307.53,307.64,307.22,307.33,127124.0
2026-07-02 13:05:00,307.39,307.46,307.1,307.19,103794.0
2026-07-02 13:06:00,307.14,307.53,307.09,307.53,60452.0
2026-07-02 13:07:00,307.53,307.9,307.27,307.82,75227.0
2026-07-02 13:08:00,307.83,308.08,307.79,307.94,99792.0
2026-07-02 13:09:00,307.97,308.3,307.97,308.27,80525.0
2026-07-02 13:10:00,308.29,308.32,307.9,307.93,156906.0
2026-07-02 13:11:00,307.91,308.28,307.91,308.2,149400.0
2026-07-02 13:12:00,308.16,308.19,307.87,308.02,106606.0
2026-07-02 13:13:00,308.02,308.03,307.87,307.98,70969.0
2026-07-02 13:14:00,307.99,308.21,307.89,308.2,87134.0
2026-07-02 13:15:00,308.19,308.32,308.12,308.27,141358.0
2026-07-02 13:16:00,308.27,308.3,308.05,308.11,122082.0
2026-07-02 13:17:00,308.12,308.13,307.86,307.89,102269.0
2026-07-02 13:18:00,307.91,308.16,307.83,308.04,96451.0
2026-07-02 13:19:00,308.03,308.04,307.65,307.76,123236.0
2026-07-02 13:20:00,307.79,307.91,307.69,307.75,85810.0
2026-07-02 13:21:00,307.76,307.93,307.67,307.74,94126.0
2026-07-02 13:22:00,307.76,307.94,307.75,307.88,80700.0
2026-07-02 13:23:00,307.9,307.99,307.82,307.92,63065.0
2026-07-02 13:24:00,307.93,307.96,307.74,307.86,64605.0
2026-07-02 13:25:00,307.86,307.87,307.69,307.72,56634.0
2026-07-02 13:26:00,307.71,307.76,307.28,307.28,57120.0
2026-07-02 13:27:00,307.26,307.77,307.26,307.74,68479.0
2026-07-02 13:28:00,307.76,307.87,307.76,307.85,81235.0
2026-07-02 13:29:00,307.83,307.91,307.7,307.79,37903.0
2026-07-02 13:30:00,307.79,307.88,307.68,307.75,68787.0
2026-07-02 13:31:00,307.74,308.07,307.74,307.94,95657.0
2026-07-02 13:32:00,307.94,308.03,307.86,307.96,60393.0
2026-07-02 13:33:00,307.96,308.1,307.93,307.99,82265.0
2026-07-02 13:34:00,307.98,308.06,307.48,307.53,128921.0
2026-07-02 13:35:00,307.5,307.88,307.42,307.48,97267.0
2026-07-02 13:36:00,307.49,307.86,307.46,307.76,80060.0
2026-07-02 13:37:00,307.78,307.83,307.58,307.68,87941.0
2026-07-02 13:38:00,307.68,307.97,307.68,307.97,81124.0
2026-07-02 13:39:00,307.97,308.03,307.78,307.83,90039.0
2026-07-02 13:40:00,307.83,307.88,307.64,307.83,115836.0
2026-07-02 13:41:00,307.83,308.08,307.77,308.05,71509.0
2026-07-02 13:42:00,308.05,308.05,307.85,307.92,70822.0
2026-07-02 13:43:00,307.92,308.05,307.81,308.03,95050.0
2026-07-02 13:44:00,308.05,308.17,307.89,308.17,80351.0
2026-07-02 13:45:00,308.18,308.3,308.02,308.28,137567.0
2026-07-02 13:46:00,308.25,308.25,308.02,308.02,115918.0
2026-07-02 13:47:00,308.04,308.08,307.64,307.68,101054.0
2026-07-02 13:48:00,307.69,308.07,307.48,308.04,102011.0
2026-07-02 13:49:00,308.04,308.18,307.74,307.96,178011.0
2026-07-02 13:50:00,307.98,308.05,307.79,307.93,260684.0
2026-07-02 13:51:00,307.95,308.1,307.91,307.99,82459.0
2026-07-02 13:52:00,308.01,308.02,307.72,307.8,97424.0
2026-07-02 13:53:00,307.78,307.97,307.73,307.73,71262.0
2026-07-02 13:54:00,307.73,307.88,307.69,307.83,55474.0
2026-07-02 13:55:00,307.73,307.83,307.39,307.39,10739.0
2026-07-02 13:56:00,307.4,307.5,307.35,307.49,4257.0
2026-07-02 13:57:00,307.47,307.6,307.28,307.42,98036.0
2026-07-02 13:58:00,307.42,307.49,307.26,307.33,55827.0
2026-07-02 13:59:00,307.32,307.33,307.14,307.33,94000.0
2026-07-02 14:00:00,307.34,307.73,307.13,307.64,137314.0
2026-07-02 14:01:00,307.64,307.64,307.47,307.6,97881.0
2026-07-02 14:02:00,307.61,307.65,307.27,307.28,137455.0
2026-07-02 14:03:00,307.27,307.37,307.17,307.37,71674.0
2026-07-02 14:04:00,307.38,307.79,307.38,307.65,73854.0
2026-07-02 14:05:00,307.65,307.77,307.56,307.61,91012.0
2026-07-02 14:06:00,307.62,307.8,307.59,307.59,105806.0
2026-07-02 14:07:00,307.54,307.72,307.36,307.41,68060.0
2026-07-02 14:08:00,307.39,307.78,307.23,307.77,78666.0
2026-07-02 14:09:00,307.77,307.81,307.46,307.51,86444.0
2026-07-02 14:10:00,307.52,307.65,307.45,307.5,77700.0
2026-07-02 14:11:00,307.52,307.67,307.52,307.59,68510.0
2026-07-02 14:12:00,307.57,307.69,307.48,307.66,69061.0
2026-07-02 14:13:00,307.66,307.71,307.57,307.66,103261.0
2026-07-02 14:14:00,307.62,307.67,307.51,307.64,70357.0
